run_id,started_at,completed_at,status,trigger,operation_count,model_budget_limit,model_budget_used,commit_sha,summary
daily-20260810T175244Z,2026-08-10T17:52:44Z,2026-08-10T17:55:52Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260810T222901Z,2026-08-10T22:29:01Z,2026-08-10T23:11:04Z,degraded,workflow_dispatch,4,100,20,,Daily run degraded; 4 agent operations; 0 pending-order dispositions.
daily-20260811T075824Z,2026-08-11T07:58:24Z,2026-08-11T08:32:26Z,degraded,workflow_dispatch,3,100,15,,Daily run degraded; 3 agent operations; 0 pending-order dispositions.
daily-20260811T134009Z,2026-08-11T13:40:09Z,2026-08-11T14:01:47Z,degraded,workflow_dispatch,2,100,6,,Daily run degraded; 2 agent operations; 0 pending-order dispositions.
daily-20260811T142247Z,2026-08-11T14:22:47Z,2026-08-11T14:27:25Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260811T144815Z,2026-08-11T14:48:15Z,2026-08-11T14:51:44Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260811T155946Z,2026-08-11T15:59:46Z,2026-08-11T16:11:08Z,succeeded,schedule,0,100,0,,Daily run succeeded; 0 agent operations; 0 pending-order dispositions.
daily-20260811T172903Z,2026-08-11T17:29:03Z,2026-08-11T17:53:00Z,degraded,workflow_dispatch,2,100,10,,Daily run degraded; 2 agent operations; 0 pending-order dispositions.
daily-20260812T000832Z,2026-08-12T00:08:32Z,2026-08-12T00:40:50Z,degraded,workflow_dispatch,3,100,15,,Daily run degraded; 3 agent operations; 0 pending-order dispositions.
daily-20260812T014817Z,2026-08-12T01:48:17Z,2026-08-12T02:05:55Z,degraded,workflow_dispatch,2,100,6,,Daily run degraded; 2 agent operations; 0 pending-order dispositions.
daily-20260812T084846Z,2026-08-12T08:48:46Z,2026-08-12T08:51:57Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
local-youtube-20260812T090946Z-01,2026-08-12T09:10:26Z,2026-08-12T10:45:40Z,succeeded,local,20,5,0,,Daily run succeeded; 20 agent operations; 0 pending-order dispositions.
local-youtube-20260812T090946Z-02,2026-08-12T10:46:15Z,2026-08-12T12:19:04Z,succeeded,local,20,5,0,,Daily run succeeded; 20 agent operations; 0 pending-order dispositions.
local-youtube-20260812T090946Z-03,2026-08-12T12:19:35Z,2026-08-12T12:57:35Z,succeeded,local,19,5,0,,Daily run succeeded; 19 agent operations; 0 pending-order dispositions.
local-youtube-20260812T090946Z-04,2026-08-12T12:57:53Z,2026-08-12T13:24:10Z,succeeded,local,14,5,0,,Daily run succeeded; 14 agent operations; 0 pending-order dispositions.
daily-20260812T151654Z,2026-08-12T15:16:54Z,2026-08-12T15:28:16Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260812T160022Z,2026-08-12T16:00:22Z,2026-08-12T16:11:33Z,degraded,schedule,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260812T174806Z,2026-08-12T17:48:06Z,2026-08-12T17:58:28Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260812T203509Z,2026-08-12T20:35:09Z,2026-08-12T20:47:46Z,degraded,workflow_dispatch,2,100,6,,Daily run degraded; 2 agent operations; 0 pending-order dispositions.
daily-20260813T092636Z,2026-08-13T09:26:36Z,2026-08-13T09:31:48Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260813T160024Z,2026-08-13T16:00:24Z,2026-08-13T16:04:03Z,degraded,schedule,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260813T231401Z,2026-08-13T23:14:01Z,2026-08-15T07:23:15Z,succeeded,workflow_dispatch,1,100,5,,Daily run succeeded; 1 agent operations; 0 pending-order dispositions.
daily-20260815T103304Z,2026-08-15T10:33:04Z,2026-08-15T10:38:27Z,succeeded,workflow_dispatch,0,100,0,,Daily run succeeded; 0 agent operations; 0 pending-order dispositions.
daily-20260815T151934Z,2026-08-15T15:19:34Z,2026-08-15T15:30:36Z,succeeded,schedule,0,100,0,,Daily run succeeded; 0 agent operations; 0 pending-order dispositions.
daily-20260815T192234Z,2026-08-15T19:22:34Z,2026-08-15T19:26:56Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
